mem,bandwidth(MB/ms)
91947008,10.65
92012544,10.62
92078080,10.65
92143616,10.61
92209152,10.64
92274688,10.64
92340224,10.64
92405760,10.64
92471296,9.94
92536832,10.39
92602368,10.5
92667904,10.57
92733440,10.54
92798976,10.42
92864512,10.45
92930048,10.52
92995584,10.55
93061120,10.42
93126656,10.27
93192192,10.45
93257728,10.27
93323264,10.41
93388800,10.49
93454336,10.54
93519872,10.39
93585408,9.81
93650944,10.29
93716480,10.49
93782016,10.46
93847552,10.56
93913088,10.53
93978624,10.56
94044160,10.57
94109696,10.55
94175232,10.01
94240768,10.56
94306304,10.55
94371840,10.53
94437376,10.54
94502912,10.54
94568448,10.58
94633984,10.57
94699520,10.56
94765056,10.55
94830592,10.56
94896128,10.54
94961664,10.56
95027200,10.55
95092736,10.56
95158272,10.57
95223808,10.57
95289344,10.56
95354880,10.55
95420416,10.54
95485952,10.53
95551488,10.55
95617024,10.56
95682560,10.58
95748096,10.58
95813632,10.56
95879168,10.57
95944704,10.58
96010240,10.53
96075776,10.56
96141312,10.52
96206848,10.55
96272384,10.55
96337920,10.51
96403456,10.54
96468992,10.55
96534528,10.55
96600064,10.54
96665600,10.4
96731136,10.54
96796672,10.55
96862208,10.56
96927744,10.56
96993280,10.56
97058816,10.51
97124352,10.54
97189888,10.53
97255424,10.56
97320960,10.53
97386496,10.56
97452032,10.49
97517568,10.46
97583104,10.45
97648640,10.42
97714176,10.34
97779712,10.44
97845248,10.42
97910784,10.55
97976320,10.43
98041856,10.57
98107392,10.54
98172928,10.55
98238464,10.42
98304000,10.55
98369536,10.54
98435072,10.56
98500608,10.43
98566144,10.12
98631680,10.54
98697216,10.52
98762752,10.53
98828288,10.54
98893824,10.55
98959360,10.55
99024896,10.56
99090432,10.15
99155968,10.39
99221504,10.53
99287040,10.51
99352576,10.41
99418112,10.49
99483648,10.51
99549184,10.49
99614720,10.54
99680256,10.54
99745792,10.47
99811328,10.51
99876864,10.52
99942400,10.42
100007936,10.24
100073472,10.35
100139008,10.14
100204544,10.52
100270080,10.51
100335616,10.55
100401152,10.53
100466688,10.55
100532224,10.55
100597760,10.01
100663296,10.53
100728832,10.53
100794368,10.52
100859904,9.98
100925440,10.53
100990976,10.56
101056512,10.57
101122048,10.08
101187584,10.55
101253120,10.55
101318656,10.53
