mem,bandwidth(MB/ms)
48889856,10.52
48955392,10.52
49020928,10.52
49086464,10.5
49152000,10.49
49217536,10.5
49283072,10.48
49348608,10.48
49414144,10.49
49479680,10.49
49545216,10.48
49610752,10.41
49676288,10.49
49741824,10.46
49807360,10.51
49872896,10.49
49938432,10.51
50003968,10.5
50069504,10.46
50135040,10.5
50200576,10.5
50266112,10.49
50331648,10.44
50397184,10.47
50462720,10.47
50528256,10.48
50593792,10.49
50659328,10.49
50724864,10.51
50790400,10.5
50855936,10.49
50921472,10.51
50987008,10.49
51052544,10.49
51118080,10.48
51183616,10.47
51249152,10.47
51314688,10.44
51380224,10.44
51445760,10.47
51511296,10.44
51576832,10.38
51642368,10.46
51707904,10.48
51773440,10.49
51838976,10.49
51904512,10.47
51970048,10.49
52035584,10.48
52101120,10.48
52166656,10.46
52232192,10.48
52297728,9.71
52363264,10.44
52428800,10.45
52494336,10.44
52559872,10.45
52625408,10.46
52690944,10.46
52756480,9.75
52822016,10.48
52887552,10.47
52953088,10.47
53018624,10.48
53084160,10.47
53149696,10.46
53215232,9.74
53280768,10.44
53346304,10.44
53411840,10.43
53477376,10.43
53542912,10.42
53608448,10.42
53673984,9.63
53739520,10.44
53805056,10.46
53870592,10.48
53936128,10.47
54001664,10.46
54067200,10.48
54132736,9.57
54198272,10.44
54263808,10.44
54329344,10.44
54394880,10.44
54460416,10.41
54525952,10.41
54591488,9.69
54657024,10.41
54722560,10.42
54788096,10.44
54853632,10.45
54919168,10.47
54984704,10.45
55050240,9.64
55115776,10.44
55181312,10.44
55246848,10.43
55312384,10.42
55377920,10.41
55443456,10.41
55508992,9.64
55574528,10.39
55640064,10.4
55705600,10.41
55771136,10.42
55836672,10.41
55902208,10.44
55967744,9.81
56033280,10.44
56098816,10.43
56164352,10.45
56229888,10.43
56295424,10.36
56360960,10.4
56426496,10.38
56492032,10.4
56557568,10.39
56623104,10.4
56688640,8.31
56754176,10.4
56819712,10.38
56885248,10.41
56950784,10.43
57016320,10.43
57081856,10.44
57147392,10.38
57212928,10.42
57278464,10.41
57344000,10.42
57409536,10.41
57475072,10.41
57540608,10.39
57606144,10.39
57671680,9.56
57737216,10.36
57802752,10.39
57868288,10.39
57933824,10.4
57999360,10.38
58064896,10.38
58130432,10.41
58195968,10.42
58261504,10.41
58327040,10.37
58392576,10.4
58458112,10.39
58523648,10.37
58589184,10.4
58654720,10.39
58720256,10.37
58785792,10.38
58851328,10.33
58916864,10.37
58982400,10.39
59047936,10.4
59113472,10.4
59179008,10.41
59244544,10.4
59310080,10.4
59375616,10.38
59441152,10.39
59506688,10.38
59572224,10.38
59637760,10.36
59703296,10.36
59768832,10.35
59834368,10.36
59899904,10.36
59965440,10.39
60030976,10.37
60096512,10.38
60162048,10.39
60227584,10.37
60293120,10.38
60358656,10.37
60424192,10.38
60489728,10.38
60555264,10.33
60620800,10.34
60686336,9.65
60751872,10.37
60817408,10.36
60882944,10.35
60948480,10.35
61014016,10.35
61079552,9.65
61145088,10.37
61210624,10.37
61276160,10.37
61341696,10.32
61407232,10.36
61472768,9.42
61538304,10.26
61603840,10.31
61669376,10.35
61734912,10.35
61800448,10.34
61865984,10.33
61931520,10.35
61997056,10.35
62062592,10.36
62128128,10.35
62193664,10.34
62259200,10.28
62324736,10.37
62390272,10.38
62455808,10.37
62521344,10.37
62586880,10.36
62652416,10.35
62717952,10.36
62783488,10.34
62849024,10.34
62914560,10.32
62980096,10.33
63045632,10.34
63111168,10.35
63176704,10.36
63242240,10.37
63307776,10.37
63373312,10.34
63438848,10.37
63504384,10.36
63569920,10.35
63635456,10.36
63700992,10.34
63766528,9.57
63832064,10.35
63897600,10.35
63963136,10.33
64028672,10.33
64094208,10.34
64159744,10.3
64225280,10.35
64290816,10.32
64356352,10.35
64421888,10.35
64487424,10.36
64552960,9.81
64618496,10.34
64684032,10.35
64749568,10.34
64815104,10.34
64880640,10.32
64946176,9.67
65011712,10.31
65077248,10.31
65142784,10.33
65208320,10.33
65273856,10.33
65339392,9.73
65404928,10.35
65470464,10.34
65536000,10.34
65601536,10.35
65667072,10.34
65732608,9.7
65798144,10.33
65863680,10.32
65929216,10.32
65994752,10.31
66060288,10.3
66125824,9.79
66191360,10.31
66256896,10.32
66322432,10.34
66387968,10.33
66453504,10.33
66519040,9.71
66584576,10.34
66650112,8.11
66715648,10.32
66781184,10.32
66846720,10.32
66912256,9.62
66977792,10.31
67043328,10.32
67108864,10.3
67174400,10.31
67239936,10.32
67305472,10.32
67371008,10.32
67436544,10.33
67502080,10.33
67567616,10.34
67633152,9.37
67698688,10.31
67764224,10.32
67829760,10.31
67895296,10.33
67960832,10.31
68026368,10.27
68091904,10.3
68157440,10.28
68222976,10.29
68288512,10.29
68354048,10.29
68419584,10.07
68485120,10.31
68550656,10.32
68616192,10.33
68681728,10.32
68747264,10.3
68812800,9.6
68878336,10.32
68943872,10.31
69009408,10.31
69074944,10.29
69140480,9.66
69206016,10.29
69271552,10.29
69337088,10.27
69402624,10.2
69468160,10.3
69533696,10.28
69599232,10.3
69664768,10.3
69730304,10.31
